ort,plz,landkreis,bundesland,lat,lon
Aach,78267,Landkreis Konstanz,Baden-Württemberg,47.8441308,8.8519587
Aach,54298,Landkreis Trier-Saarburg,Rheinland-Pfalz,49.7894542,6.5906612
Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen,50.776351,6.083862
Aalen,73430,Ostalbkreis,Baden-Württemberg,48.8375607,10.0929593
Aalen,73431,Ostalbkreis,Baden-Württemberg,48.8375607,10.0929593
Aalen,73432,Ostalbkreis,Baden-Württemberg,48.8375607,10.0929593
Aalen,73433,Ostalbkreis,Baden-Württemberg,48.8375607,10.0929593
Aalen,73434,Ostalbkreis,Baden-Württemberg,48.8375607,10.0929593
Aarbergen,65326,Rheingau-Taunus-Kreis,Hessen,50.2516294,8.0801992
Aasbüttel,25560,Kreis Steinburg,Schleswig-Holstein,54.0658047,9.4411523
Abenberg,91183,Landkreis Roth,Bayern,49.2419719,10.9638694
Abensberg,93326,Landkreis Kelheim,Bayern,48.8332409,11.8570782
Abentheuer,55767,Landkreis Birkenfeld,Rheinland-Pfalz,49.6493358,7.1010849
Absberg,91720,Landkreis Weißenburg-Gunzenhausen,Bayern,49.1445646,10.8796997
Abstatt,74232,Landkreis Heilbronn,Baden-Württemberg,49.0683107,9.2914409
Abtsbessingen,99713,Kyffhäuserkreis,Thüringen,51.2609433,10.7644451
Abtsgmünd,73453,Ostalbkreis,Baden-Württemberg,48.8936471,10.0027636
Abtsteinach,69518,Kreis Bergstraße,Hessen,49.5421,8.7881
Abtswind,97355,Landkreis Kitzingen,Bayern,49.7701407,10.3745265
Abtweiler,55568,Landkreis Bad Kreuznach,Rheinland-Pfalz,49.7437451,7.6560835
Achberg,88147,Landkreis Ravensburg,Baden-Württemberg,47.6198508,9.7185583
Achern,77855,Ortenaukreis,Baden-Württemberg,48.6300161,8.0735581
Achim,28832,Landkreis Verden,Niedersachsen,53.0120987,9.0360486
